exchange_code,yahoo_suffix
BUE,BA
ASX,AX
VIE,VI
SAO,SA
BMF,BM
BRU,BR
BUL,BG
CSE,CN
NEO,NE
TSX,TO
VAN,TV
SGO,SN
HKG,HK
SHA,SH
SHE,SZ
BVC,CB
ZSE,ZG
CYP,CP
PRG,PR
CPH,CO
TAL,TL
HEL,HE
PAR,PA
BER,BE
GER,DE
DUS,DU
FRA,FR
HAM,HM
HAN,HA
MUN,MU
STU,SG
ATH,AT
BDP,BD
ISM,IC
NSE,NS
BSE,BO
JKT,JK
DUB,ID
TLV,TA
MIL,MI
FSE,JF
JSD,JA
NAG,JN
SSE,JS
TSE,JP
OSE,OS
RSE,RG
VSE,VS
LUX,LU
MAC,MN
KLS,MK
MEX,MX
LBC,CS
AMS,AS
NZE,NZ
OSL,OL
KSA,KA
LIM,LI
PHS,PM
WAR,WA
LIS,PL
BVB,RO
MCX,ME
SAU,SR
ABX,AB
SES,SP
LJE,LJ
JSE,SJ
KSC,KS
KDQ,KQ
BCN,BC
MCE,MC
COL,SL
STO,ST
BRN,BN
EBS,SW
TWO,TE
TAI,TW
BKK,TB
IST,TI
AQX,PZ
IOB,IL
LSE,L
BTS,
IEX,
NAS,
ASE,
PCX,
NYQ,
OPR,OPR
OBB,
PNK,
HSX,VN
